x,y,z,t
0.219074,0.169899,0.036683,6.08
0.217008,0.17243,0.0366725,6.09
0.214917,0.174945,0.0366617,6.1
0.212801,0.177444,0.0366508,6.11
0.21066,0.179927,0.0366397,6.12
0.208495,0.182393,0.0366284,6.13
0.206304,0.184843,0.036617,6.14
0.20409,0.187276,0.0366053,6.15
0.201851,0.189691,0.0365935,6.16
0.199588,0.192089,0.0365816,6.17
0.197301,0.194469,0.0365694,6.18
0.194991,0.196831,0.0365571,6.19
0.192657,0.199175,0.0365447,6.2
0.1903,0.2015,0.036532,6.21
0.18792,0.203806,0.0365192,6.22
0.185516,0.206092,0.0365063,6.23
0.18309,0.20836,0.0364931,6.24
0.180642,0.210607,0.0364798,6.25
0.178171,0.212835,0.0364664,6.26
0.175678,0.215042,0.0364528,6.27
0.173163,0.217229,0.036439,6.28
0.170626,0.219395,0.0364251,6.29
0.168068,0.22154,0.036411,6.3
0.165489,0.223664,0.0363968,6.31
0.162888,0.225766,0.0363824,6.32
0.160267,0.227847,0.0363678,6.33
0.157624,0.229905,0.0363532,6.34
0.154962,0.231941,0.0363383,6.35
0.152279,0.233955,0.0363234,6.36
0.149576,0.235945,0.0363082,6.37
0.146854,0.237913,0.036293,6.38
0.144112,0.239857,0.0362776,6.39
0.14135,0.241778,0.036262,6.4
0.13857,0.243675,0.0362464,6.41
0.135771,0.245548,0.0362305,6.42
0.132953,0.247397,0.0362146,6.43
0.130117,0.249221,0.0361985,6.44
0.127263,0.251021,0.0361823,6.45
0.124391,0.252796,0.0361659,6.46
0.121501,0.254545,0.0361495,6.47
0.118594,0.256269,0.0361329,6.48
0.11567,0.257968,0.0361162,6.49
0.112729,0.25964,0.0360993,6.5
0.109772,0.261287,0.0360823,6.51
